2023 National Employment Matrix title,2023 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation
Chief executives,11-1011,Bachelor's degree,5 years or more
General and operations managers,11-1021,Bachelor's degree,5 years or more
Legislators,11-1031,Bachelor's degree,Less than 5 years
Advertising and promotions managers,11-2011,Bachelor's degree,Less than 5 years
Marketing managers,11-2021,Bachelor's degree,5 years or more
Sales managers,11-2022,Bachelor's degree,Less than 5 years
Public relations managers,11-2032,Bachelor's degree,5 years or more
Fundraising managers,11-2033,Bachelor's degree,5 years or more
Administrative services managers,11-3012,Bachelor's degree,Less than 5 years
Facilities managers,11-3013,Bachelor's degree,Less than 5 years
Computer and information systems managers,11-3021,Bachelor's degree,5 years or more
Financial managers,11-3031,Bachelor's degree,5 years or more
Industrial production managers,11-3051,Bachelor's degree,5 years or more
Purchasing managers,11-3061,Bachelor's degree,5 years or more
"Transportation, storage, and distribution managers",11-3071,High school diploma or equivalent,5 years or more
Compensation and benefits managers,11-3111,Bachelor's degree,5 years or more
Human resources managers,11-3121,Bachelor's degree,5 years or more
Training and development managers,11-3131,Bachelor's degree,5 years or more
"Farmers, ranchers, and other agricultural managers",11-9013,High school diploma or equivalent,5 years or more
Construction managers,11-9021,Bachelor's degree,None
"Education and childcare administrators, preschool and daycare",11-9031,Bachelor's degree,Less than 5 years
"Education administrators, kindergarten through secondary",11-9032,Master's degree,5 years or more
"Education administrators, postsecondary",11-9033,Master's degree,Less than 5 years
"Education administrators, all other",11-9039,Bachelor's degree,Less than 5 years
Architectural and engineering managers,11-9041,Bachelor's degree,5 years or more
Food service managers,11-9051,High school diploma or equivalent,Less than 5 years
Gambling managers,11-9071,High school diploma or equivalent,Less than 5 years
"Entertainment and recreation managers, except gambling",11-9072,Bachelor's degree,Less than 5 years
Lodging managers,11-9081,High school diploma or equivalent,Less than 5 years
Medical and health services managers,11-9111,Bachelor's degree,Less than 5 years
Natural sciences managers,11-9121,Bachelor's degree,5 years or more
Postmasters and mail superintendents,11-9131,High school diploma or equivalent,Less than 5 years
"Property, real estate, and community association managers",11-9141,High school diploma or equivalent,Less than 5 years
Social and community service managers,11-9151,Bachelor's degree,Less than 5 years
Emergency management directors,11-9161,Bachelor's degree,5 years or more
Funeral home managers,11-9171,Associate's degree,Less than 5 years
"Personal service managers, all other",11-9179,High school diploma or equivalent,Less than 5 years
"Managers, all other",11-9199,Bachelor's degree,Less than 5 years
"Agents and business managers of artists, performers, and athletes",13-1011,Bachelor's degree,Less than 5 years
Buyers and purchasing agents,13-1020,Bachelor's degree,None
"Claims adjusters, examiners, and investigators",13-1031,High school diploma or equivalent,None
"Insurance appraisers, auto damage",13-1032,Postsecondary nondegree award,None
Compliance officers,13-1041,Bachelor's degree,None
Cost estimators,13-1051,Bachelor's degree,None
Human resources specialists,13-1071,Bachelor's degree,None
Farm labor contractors,13-1074,No formal educational credential,Less than 5 years
Labor relations specialists,13-1075,Bachelor's degree,Less than 5 years
Logisticians,13-1081,Bachelor's degree,None
Project management specialists,13-1082,Bachelor's degree,None
Management analysts,13-1111,Bachelor's degree,Less than 5 years
"Meeting, convention, and event planners",13-1121,Bachelor's degree,None
Fundraisers,13-1131,Bachelor's degree,None
"Compensation, benefits, and job analysis specialists",13-1141,Bachelor's degree,Less than 5 years
Training and development specialists,13-1151,Bachelor's degree,Less than 5 years
Market research analysts and marketing specialists,13-1161,Bachelor's degree,None
"Business operations specialists, all other",13-1199,Bachelor's degree,None
Accountants and auditors,13-2011,Bachelor's degree,None
Property appraisers and assessors,13-2020,Bachelor's degree,None
Budget analysts,13-2031,Bachelor's degree,None
Credit analysts,13-2041,Bachelor's degree,None
Financial and investment analysts,13-2051,Bachelor's degree,None
Personal financial advisors,13-2052,Bachelor's degree,None
Insurance underwriters,13-2053,Bachelor's degree,None
Financial risk specialists,13-2054,Bachelor's degree,None
Financial examiners,13-2061,Bachelor's degree,None
Credit counselors,13-2071,Bachelor's degree,None
Loan officers,13-2072,Bachelor's degree,Less than 5 years
"Tax examiners and collectors, and revenue agents",13-2081,Bachelor's degree,None
Tax preparers,13-2082,High school diploma or equivalent,None
"Financial specialists, all other",13-2099,Bachelor's degree,None
Computer systems analysts,15-1211,Bachelor's degree,None
Information security analysts,15-1212,Bachelor's degree,Less than 5 years
Computer and information research scientists,15-1221,Master's degree,None
Computer network support specialists,15-1231,Associate's degree,None
Computer user support specialists,15-1232,"Some college, no degree",None
Computer network architects,15-1241,Bachelor's degree,5 years or more
Database administrators,15-1242,Bachelor's degree,None
Database architects,15-1243,Bachelor's degree,Less than 5 years
Network and computer systems administrators,15-1244,Bachelor's degree,None
Computer programmers,15-1251,Bachelor's degree,None
Software developers,15-1252,Bachelor's degree,None
Software quality assurance analysts and testers,15-1253,Bachelor's degree,None
Web developers,15-1254,Bachelor's degree,None
Web and digital interface designers,15-1255,Bachelor's degree,None
"Computer occupations, all other",15-1299,Bachelor's degree,None
Actuaries,15-2011,Bachelor's degree,None
Mathematicians,15-2021,Master's degree,None
Operations research analysts,15-2031,Bachelor's degree,None
Statisticians,15-2041,Master's degree,None
Data scientists,15-2051,Bachelor's degree,None
"Mathematical science occupations, all other",15-2099,Bachelor's degree,None
"Architects, except landscape and naval",17-1011,Bachelor's degree,None
Landscape architects,17-1012,Bachelor's degree,None
Cartographers and photogrammetrists,17-1021,Bachelor's degree,None
Surveyors,17-1022,Bachelor's degree,None
Aerospace engineers,17-2011,Bachelor's degree,None
Agricultural engineers,17-2021,Bachelor's degree,None
Bioengineers and biomedical engineers,17-2031,Bachelor's degree,None
Chemical engineers,17-2041,Bachelor's degree,None
Civil engineers,17-2051,Bachelor's degree,None
Computer hardware engineers,17-2061,Bachelor's degree,None
Electrical engineers,17-2071,Bachelor's degree,None
"Electronics engineers, except computer",17-2072,Bachelor's degree,None
Environmental engineers,17-2081,Bachelor's degree,None
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Bachelor's degree,None
Industrial engineers,17-2112,Bachelor's degree,None
Marine engineers and naval architects,17-2121,Bachelor's degree,None
Materials engineers,17-2131,Bachelor's degree,None
Mechanical engineers,17-2141,Bachelor's degree,None
"Mining and geological engineers, including mining safety engineers",17-2151,Bachelor's degree,None
Nuclear engineers,17-2161,Bachelor's degree,None
Petroleum engineers,17-2171,Bachelor's degree,None
"Engineers, all other",17-2199,Bachelor's degree,None
Architectural and civil drafters,17-3011,Associate's degree,None
Electrical and electronics drafters,17-3012,Associate's degree,None
Mechanical drafters,17-3013,Associate's degree,None
"Drafters, all other",17-3019,Associate's degree,None
Aerospace engineering and operations technologists and technicians,17-3021,Associate's degree,None
